
Task1 Solution (Block Perspective) of Teaching Assistant:

        Block26: H0, C0, R27 (time=1.57)
        Block27: H0, C1, R25 (time=1.62)
        Block28: H0, C9, R32 (time=1.01)
        Block29: H0, C1, R17 (time=4.60)
        Block30: H0, C0, R25 (time=2.38)
        Block31: H0, C1, R22 (time=2.48)
        Block32: H0, C1, R24 (time=1.97)
        Block33: H0, C1, R21 (time=3.29)
        Block34: H0, C1, R16 (time=5.01)
        Block35: H0, C9, R30 (time=1.57)

Job17 obtains 8 cores (speed=6.63) and finishes at time 286.24:
        Block0: H0, C3, R43 (time=3.02)
        Block1: H0, C7, R42 (time=9.20)
        Block2: H0, C6, R93 (time=4.98)
        Block3: H0, C7, R43 (time=7.39)
        Block4: H0, C2, R34 (time=13.57)
        Block5: H0, C8, R49 (time=11.76)
        Block6: H0, C6, R92 (time=10.56)
        Block7: H0, C3, R42 (time=11.31)
        Block8: H0, C1, R47 (time=7.84)
        Block9: H0, C1, R46 (time=9.05)
        Block10: H0, C0, R44 (time=14.63)
        Block11: H0, C4, R45 (time=14.78)

Job18 obtains 5 cores (speed=14.40) and finishes at time 80.28:
        Block0: H0, C0, R12 (time=3.75)
        Block1: H0, C3, R9 (time=5.14)
        Block2: H0, C0, R15 (time=1.74)
        Block3: H0, C0, R11 (time=4.79)
        Block4: H0, C5, R9 (time=6.81)
        Block5: H0, C0, R9 (time=5.42)
        Block6: H0, C2, R10 (time=4.51)
        Block7: H0, C2, R8 (time=6.74)
        Block8: H0, C2, R14 (time=1.39)
        Block9: H0, C0, R13 (time=2.99)
        Block10: H0, C3, R8 (time=6.39)
        Block11: H0, C2, R11 (time=3.47)
        Block12: H0, C9, R13 (time=2.08)
        Block13: H0, C3, R10 (time=4.79)
        Block14: H0, C2, R9 (time=4.86)
        Block15: H0, C3, R12 (time=2.29)
        Block16: H0, C5, R11 (time=3.89)
        Block17: H0, C2, R13 (time=2.15)
        Block18: H0, C5, R15 (time=1.46)
        Block19: H0, C3, R13 (time=2.15)
        Block20: H0, C9, R9 (time=5.00)
        Block21: H0, C9, R11 (time=3.54)
        Block22: H0, C0, R14 (time=1.81)
        Block23: H0, C3, R14 (time=1.39)
        Block24: H0, C9, R10 (time=4.31)
        Block25: H0, C5, R13 (time=2.99)
        Block26: H0, C9, R12 (time=2.85)
        Block27: H0, C9, R8 (time=6.60)
        Block28: H0, C2, R12 (time=2.43)
        Block29: H0, C3, R11 (time=3.47)
        Block30: H0, C5, R10 (time=4.86)
        Block31: H0, C5, R14 (time=1.81)
        Block32: H0, C5, R12 (time=3.82)
        Block33: H0, C0, R10 (time=5.35)

Job19 obtains 7 cores (speed=7.54) and finishes at time 192.00:
        Block0: H0, C0, R30 (time=7.43)
        Block1: H0, C8, R26 (time=3.58)
        Block2: H0, C9, R33 (time=8.89)
        Block3: H0, C8, R25 (time=5.97)
        Block4: H0, C2, R26 (time=8.49)
        Block5: H0, C4, R24 (time=5.57)
        Block6: H0, C1, R28 (time=8.89)
        Block7: H0, C3, R33 (time=3.32)
        Block8: H0, C3, R32 (time=7.29)
        Block9: H0, C4, R25 (time=3.71)


Task1 Solution (Core Perspective) of Teaching Assistant:

Host0 finishes at time 313.94:

        Core0 has 47 tasks and finishes at time 311.95:
                J12, B14, runTime 000.0 to 010.4
                J12, B20, runTime 010.4 to 013.6
                J15, B12, runTime 014.6 to 022.2
                J15, B10, runTime 022.2 to 026.8
                J14, B05, runTime 027.8 to 032.4
                J03, B16, runTime 035.9 to 043.5
                J03, B09, runTime 043.5 to 050.1
                J03, B05, runTime 050.1 to 052.4
                J18, B05, runTime 054.4 to 059.9
                J18, B33, runTime 059.9 to 065.2
                J18, B03, runTime 065.2 to 070.0
                J18, B00, runTime 070.0 to 073.7
